Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:03:31][notice]Preparing to dump table wp_revslider_slides_bkp
[2025-12-01 19:03:31][notice]Preparing to dump table wp_revslider_static_slides
[2025-12-01 19:03:31][notice]Preparing to dump table wp_revslider_static_slides_bkp
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wc_product_download_directories
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wc_rate_limits
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wc_tax_rate_classes
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wc_webhooks
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wfhoover
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wm_ext_qanda
[2025-12-01 19:03:31][notice]Preparing to dump table wp_woocommerce_attribute_taxonomies
[2025-12-01 19:03:31][notice]Preparing to dump table wp_woocommerce_log
[2025-12-01 19:03:31][notice]Preparing to dump table wp_woocommerce_payment_tokens
[2025-12-01 19:03:31][notice]Preparing to dump table wp_wpnotif_mobile_otp
[2025-12-01 19:03:31][notice]Preparing to dump table wp_yoast_migrations
[2025-12-01 19:03:31][notice]Preparing to dump table wp_e_submissions_values
[2025-12-01 19:03:32][notice]Preparing to dump table wp_gla_shipping_rates
[2025-12-01 19:03:32][notice]Preparing to dump table wp_litespeed_crawler_blacklist
[2025-12-01 19:03:32][notice]Preparing to dump table wp_litespeed_url
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_automation_run_subjects
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_segments
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_sending_queues
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_statistics_newsletters
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_stats_notifications
[2025-12-01 19:03:32][notice]Preparing to dump table wp_mailpoet_subscriber_tag
[2025-12-01 19:03:32][notice]Preparing to dump table wp_snippets
[2025-12-01 19:03:32][notice]Preparing to dump table wp_wc_download_log
[2025-12-01 19:03:32][notice]Preparing to dump table wp_wc_order_operational_data
[2025-12-01 19:03:32][notice]Preparing to dump table wp_wc_order_tax_lookup
[2025-12-01 19:03:32][notice]Preparing to dump table wp_wc_orders_meta
[2025-12-01 19:03:32][notice]Preparing to dump table wp_wdp_rules
